,5.1,3.5,1.4,0.2,Iris-setosa
22,5.1,3.3,1.7,0.5,Iris-setosa
15,5.4,3.9,1.3,0.4,Iris-setosa
65,5.6,3.0,4.5,1.5,Iris-versicolor
11,4.8,3.0,1.4,0.1,Iris-setosa
42,5.0,3.5,1.6,0.6,Iris-setosa
105,4.9,2.5,4.5,1.7,Iris-virginica
51,6.9,3.1,4.9,1.5,Iris-versicolor
27,5.2,3.4,1.4,0.2,Iris-setosa
4,5.4,3.9,1.7,0.4,Iris-setosa
32,5.5,4.2,1.4,0.2,Iris-setosa
120,5.6,2.8,4.9,2.0,Iris-virginica
85,6.7,3.1,4.7,1.5,Iris-versicolor
86,6.3,2.3,4.4,1.3,Iris-versicolor
16,5.1,3.5,1.4,0.3,Iris-setosa
10,4.8,3.4,1.6,0.2,Iris-setosa
81,5.8,2.7,3.9,1.2,Iris-versicolor
132,6.3,2.8,5.1,1.5,Iris-virginica
142,6.8,3.2,5.9,2.3,Iris-virginica
75,6.8,2.8,4.8,1.4,Iris-versicolor
108,7.2,3.6,6.1,2.5,Iris-virginica
95,5.7,2.9,4.2,1.3,Iris-versicolor
104,7.6,3.0,6.6,2.1,Iris-virginica
66,5.8,2.7,4.1,1.0,Iris-versicolor
0,4.9,3.0,1.4,0.2,Iris-setosa
141,5.8,2.7,5.1,1.9,Iris-virginica
67,6.2,2.2,4.5,1.5,Iris-versicolor
28,4.7,3.2,1.6,0.2,Iris-setosa
40,4.5,2.3,1.3,0.3,Iris-setosa
44,4.8,3.0,1.4,0.3,Iris-setosa
60,5.9,3.0,4.2,1.5,Iris-versicolor
122,6.3,2.7,4.9,1.8,Iris-virginica
24,5.0,3.0,1.6,0.2,Iris-setosa
25,5.0,3.4,1.6,0.4,Iris-setosa
23,4.8,3.4,1.9,0.2,Iris-setosa
93,5.6,2.7,4.2,1.3,Iris-versicolor
39,5.0,3.5,1.3,0.3,Iris-setosa
94,5.7,3.0,4.2,1.2,Iris-versicolor
138,6.9,3.1,5.4,2.1,Iris-virginica
47,5.3,3.7,1.5,0.2,Iris-setosa
96,6.2,2.9,4.3,1.3,Iris-versicolor
112,5.7,2.5,5.0,2.0,Iris-virginica
33,4.9,3.1,1.5,0.1,Iris-setosa
98,5.7,2.8,4.1,1.3,Iris-versicolor
145,6.3,2.5,5.0,1.9,Iris-virginica
62,6.1,2.9,4.7,1.4,Iris-versicolor
84,6.0,3.4,4.5,1.6,Iris-versicolor
119,6.9,3.2,5.7,2.3,Iris-virginica
53,6.5,2.8,4.6,1.5,Iris-versicolor
5,4.6,3.4,1.4,0.3,Iris-setosa
147,6.2,3.4,5.4,2.3,Iris-virginica
137,6.0,3.0,4.8,1.8,Iris-virginica
49,7.0,3.2,4.7,1.4,Iris-versicolor
35,5.5,3.5,1.3,0.2,Iris-setosa
80,5.5,2.4,3.7,1.0,Iris-versicolor
77,6.0,2.9,4.5,1.5,Iris-versicolor
34,5.0,3.2,1.2,0.2,Iris-setosa
113,5.8,2.8,5.1,2.4,Iris-virginica
7,4.4,2.9,1.4,0.2,Iris-setosa
43,5.1,3.8,1.9,0.4,Iris-setosa
70,6.1,2.8,4.0,1.3,Iris-versicolor
97,5.1,2.5,3.0,1.1,Iris-versicolor
83,5.4,3.0,4.5,1.5,Iris-versicolor
133,6.1,2.6,5.6,1.4,Iris-virginica
134,7.7,3.0,6.1,2.3,Iris-virginica
89,5.5,2.6,4.4,1.2,Iris-versicolor
8,4.9,3.1,1.5,0.1,Iris-setosa
13,5.8,4.0,1.2,0.2,Iris-setosa
118,6.0,2.2,5.0,1.5,Iris-virginica
126,6.1,3.0,4.9,1.8,Iris-virginica
3,5.0,3.6,1.4,0.2,Iris-setosa
17,5.7,3.8,1.7,0.3,Iris-setosa
38,5.1,3.4,1.5,0.2,Iris-setosa
72,6.1,2.8,4.7,1.2,Iris-versicolor
135,6.3,3.4,5.6,2.4,Iris-virginica
6,5.0,3.4,1.5,0.2,Iris-setosa
111,6.8,3.0,5.5,2.1,Iris-virginica
100,5.8,2.7,5.1,1.9,Iris-virginica
2,4.6,3.1,1.5,0.2,Iris-setosa
63,5.6,2.9,3.6,1.3,Iris-versicolor
54,5.7,2.8,4.5,1.3,Iris-versicolor
125,6.2,2.8,4.8,1.8,Iris-virginica
50,6.4,3.2,4.5,1.5,Iris-versicolor
114,6.4,3.2,5.3,2.3,Iris-virginica
46,4.6,3.2,1.4,0.2,Iris-setosa
115,6.5,3.0,5.5,1.8,Iris-virginica
61,6.0,2.2,4.0,1.0,Iris-versicolor
146,6.5,3.0,5.2,2.0,Iris-virginica
79,5.5,2.4,3.8,1.1,Iris-versicolor
59,5.0,2.0,3.5,1.0,Iris-versicolor
91,5.8,2.6,4.0,1.2,Iris-versicolor
41,4.4,3.2,1.3,0.2,Iris-setosa
58,5.2,2.7,3.9,1.4,Iris-versicolor
90,6.1,3.0,4.6,1.4,Iris-versicolor
48,5.0,3.3,1.4,0.2,Iris-setosa
88,5.5,2.5,4.0,1.3,Iris-versicolor
107,6.7,2.5,5.8,1.8,Iris-virginica
124,7.2,3.2,6.0,1.8,Iris-virginica
21,4.6,3.6,1.0,0.2,Iris-setosa
57,6.6,2.9,4.6,1.3,Iris-versicolor
143,6.7,3.3,5.7,2.5,Iris-virginica
